premise_1,premise_2,conclusion,group,form,validity,abstraction,plausibility,pair,statement_text,mean_rating,row_num,condition
All horses are ponies,Some horses are crawlers,Some crawlers are ponies,2,Datisi,valid,concrete,implausible,7,All horses are ponies Some horses are crawlers Some crawlers are ponies,2.148148148,24,condition_2
All baby chicks have fur,Some reptiles have fur,Some reptiles are baby chicks,1,Darii,invalid,concrete,implausible,20,All baby chicks have fur Some reptiles have fur Some reptiles are baby chicks,2.178571429,26,condition_2
All vocalists are guitarists,Some piccolos are guitarists,Some piccolos are vocalists,1,Darii,invalid,concrete,implausible,17,All vocalists are guitarists Some piccolos are guitarists Some piccolos are vocalists,2.580645161,28,condition_2
Some judges are liars,All liars are criminals,Some criminals are judges,3,Dimatis,invalid,concrete,implausible,26,Some judges are liars All liars are criminals Some criminals are judges,2.733333333,30,condition_2
All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,2,Datisi,valid,concrete,plausible,8,All statues are sculptures Some statues are bronzes Some bronzes are sculptures,3.785714286,32,condition_2
All clowns can juggle,Some circus performers are clowns,Some circus performers can juggle,1,Darii,valid,concrete,plausible,4,All clowns can juggle Some circus performers are clowns Some circus performers can juggle,3.896551724,34,condition_2
Some swords are decorative,All swords are weapons,Some weapons are decorative,4,Disamis,valid,concrete,plausible,14,Some swords are decorative All swords are weapons Some weapons are decorative,4.033333333,36,condition_2
All baby chicks have down feathers,Some birds have down feathers,Some birds are baby chicks,1,Darii,invalid,concrete,plausible,20,All baby chicks have down feathers Some birds have down feathers Some birds are baby chicks,4.05,38,condition_2
All suit pieces are made from fabric,Some shirts are made from fabric,Some shirts are suit pieces,1,Darii,invalid,concrete,plausible,19,All suit pieces are made from fabric Some shirts are made from fabric Some shirts are suit pieces,4.111111111,40,condition_2
Some criminals are liars,All humans are liars,Some humans are criminals,3,Dimatis,invalid,concrete,plausible,26,Some criminals are liars All humans are liars Some humans are criminals,4.166666667,42,condition_2
All doughnuts are sugary,Some pastries are doughnuts,Some pastries are sugary,1,Darii,valid,concrete,plausible,2,All doughnuts are sugary Some pastries are doughnuts Some pastries are sugary,4.214285714,44,condition_2
All computers run code,Some calculators run code,Some calculators are computers,1,Darii,invalid,concrete,plausible,18,All computers run code Some calculators run code Some calculators are computers,4.233333333,46,condition_2
Some burgers are overcooked,All burgers are sandwiches,Some sandwiches are overcooked,4,Disamis,valid,concrete,plausible,15,Some burgers are overcooked All burgers are sandwiches Some sandwiches are overcooked,4.294117647,48,condition_2
All singers are vocalists,Some guitarists are singers,Some guitarists are vocalists,1,Darii,valid,concrete,plausible,3,All singers are vocalists Some guitarists are singers Some guitarists are vocalists,4.342857143,50,condition_2
Some criminals are liars,All liars are humans,Some humans are criminals,3,Dimatis,valid,concrete,plausible,9,Some criminals are liars All liars are humans Some humans are criminals,4.4,52,condition_2
Some paths are straight,All roads are paths,Some roads are straight,4,Disamis,invalid,concrete,plausible,29,Some paths are straight All roads are paths Some roads are straight,4.444444444,54,condition_2
Pittsburgh is in Pennsylvania,Philadelphia is in Pennsylvania,"Therefore, Pittsburgh is in Philadelphia",5,Sunny,invalid,concrete,implausible,33,"Pittsburgh is in Pennsylvania Philadelphia is in Pennsylvania Therefore, Pittsburgh is in Philadelphia",4.58,56,condition_2
All mugs are cups,Some mugs are ceramics,Some ceramics are cups,2,Datisi,valid,concrete,plausible,6,All mugs are cups Some mugs are ceramics Some ceramics are cups,4.633333333,58,condition_2
Some grapes are red,All grapes are fruits,Some fruits are red,4,Disamis,valid,concrete,plausible,13,Some grapes are red All grapes are fruits Some fruits are red,4.857142857,60,condition_2
Some footwear are high heels,All shoes are footwear,Some shoes are high heels,4,Disamis,invalid,concrete,plausible,30,Some footwear are high heels All shoes are footwear Some shoes are high heels,4.966666667,62,condition_2
Austin is in the United States,Texas is in the United States,"Therefore, Austin is in Texas",5,Sunny,invalid,concrete,plausible,34,"Austin is in the United States Texas is in the United States Therefore, Austin is in Texas",5,64,condition_2
